2020-01-12 12:20:36.9624||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:20:41.9636||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:20:41.9636||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:20:46.9648||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:20:46.9656||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:20:51.9515||Hangfire.Server.ServerHeartbeatProcess|DEBUG|  Server 9e5e73f4-1528-44d3-9f87-6aace3c4d6b3 heartbeat successfully sent |url: |action: 
2020-01-12 12:20:51.9518||Hangfire.Server.ServerHeartbeatProcess|TRACE|  Server 9e5e73f4-1528-44d3-9f87-6aace3c4d6b3 waiting for 00:01:00 delay before sending a heartbeat |url: |action: 
2020-01-12 12:20:51.9663||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:20:51.9668||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:20:52.3373||Hangfire.Server.RecurringJobScheduler|DEBUG|  1 recurring job(s) enqueued. |url: |action: 
2020-01-12 12:20:56.9677||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:20:56.9677||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:01.9689||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:01.9689||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:06.9704||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:06.9712||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:11.9722||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:11.9733||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:16.9743||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:16.9743||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:21.9754||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:21.9761||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:22.3666||Hangfire.Server.RecurringJobScheduler|DEBUG|  1 recurring job(s) enqueued. |url: |action: 
2020-01-12 12:21:26.9766||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:26.9780||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:31.9792||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:31.9801||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:36.9818||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:36.9824||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:41.9831||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:41.9831||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:21:46.9845||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:21:46.9845||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:33:36.3087||Initializing database..|INFO|   |url: |action: 
2020-01-12 12:33:36.9786||...done|INFO|   |url: |action: 
2020-01-12 12:33:36.9802||Seeding database..|INFO|   |url: |action: 
2020-01-12 12:33:38.1684||...done|INFO|   |url: |action: 
2020-01-12 12:33:38.2873||Hangfire.SqlServer.SqlServerObjectsInstaller|INFO|  Start installing Hangfire SQL objects... |url: |action: 
2020-01-12 12:33:38.3155||Hangfire.SqlServer.SqlServerObjectsInstaller|INFO|  Hangfire SQL objects installed. |url: |action: 
2020-01-12 12:33:38.3412||Hangfire.BackgroundJobServer|INFO|  Starting Hangfire Server using job storage: 'SQL Server: localhost@impera_dev' |url: |action: 
2020-01-12 12:33:38.3417||Hangfire.BackgroundJobServer|INFO|  Using the following options for SQL Server job storage: Queue poll interval: 00:00:15. |url: |action: 
2020-01-12 12:33:38.3417||Hangfire.BackgroundJobServer|INFO|  Using the following options for Hangfire Server:
    Worker count: 2
    Listening queues: 'critical', 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:30 |url: |action: 
2020-01-12 12:33:38.3648||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop BackgroundServerProcess:c181da1d has started in 8.7941 ms |url: |action: 
2020-01-12 12:33:38.3869||Hangfire.Server.BackgroundServerProcess|TRACE|  Server e397f3a6-cd61-41dc-ac38-a7ec1158a227 is announcing itself... |url: |action: 
2020-01-12 12:33:38.4653||Hangfire.Server.BackgroundServerProcess|INFO|  Server e397f3a6-cd61-41dc-ac38-a7ec1158a227 successfully announced in 77.3236 ms |url: |action: 
2020-01-12 12:33:38.4715||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop ServerHeartbeatProcess:6fbfe30f has started in 4.3713 ms |url: |action: 
2020-01-12 12:33:38.4726||Hangfire.Server.BackgroundServerProcess|INFO|  Server e397f3a6-cd61-41dc-ac38-a7ec1158a227 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2020-01-12 12:33:38.4997||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop ServerWatchdog:fef2ff0f has started in 26.8336 ms |url: |action: 
2020-01-12 12:33:38.4997||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop ServerJobCancellationWatcher:8874516f has started in 26.7321 ms |url: |action: 
2020-01-12 12:33:38.5025||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop ExpirationManager:ea7fec13 has started in 2.7976 ms |url: |action: 
